,major_city,median_home_value,median_household_income,population,zipcode
0,Pittsburgh,89600.0,45784.0,12713.0,15201
1,Pittsburgh,108000.0,43791.0,19685.0,15202
2,Pittsburgh,131700.0,43734.0,9949.0,15203
3,Pittsburgh,66400.0,37041.0,8329.0,15204
4,Pittsburgh,106000.0,51079.0,21865.0,15205
5,Pittsburgh,123600.0,33792.0,28615.0,15206
6,Pittsburgh,76200.0,39707.0,11268.0,15207
7,Pittsburgh,98100.0,31184.0,10406.0,15208
8,Pittsburgh,126500.0,56273.0,12438.0,15209
9,Pittsburgh,55200.0,31880.0,25954.0,15210
10,Pittsburgh,86900.0,50725.0,11081.0,15211
11,Pittsburgh,81300.0,37699.0,27895.0,15212
12,Pittsburgh,122600.0,21928.0,30844.0,15213
13,Pittsburgh,94600.0,38171.0,14352.0,15214
14,Pittsburgh,196300.0,60148.0,12615.0,15215
15,Pittsburgh,99700.0,50998.0,23350.0,15216
16,Pittsburgh,256600.0,62925.0,27220.0,15217
17,Pittsburgh,104900.0,47803.0,13851.0,15218
18,Pittsburgh,73500.0,20151.0,16696.0,15219
19,Pittsburgh,135600.0,63230.0,17718.0,15220
20,Pittsburgh,88600.0,37488.0,31060.0,15221
21,Pittsburgh,285000.0,63167.0,3294.0,15222
22,Pittsburgh,90500.0,41391.0,7236.0,15223
23,Pittsburgh,86600.0,38058.0,10141.0,15224
24,Pittsburgh,80700.0,36111.0,1084.0,15225
25,Pittsburgh,85800.0,51101.0,13974.0,15226
26,Pittsburgh,100400.0,49519.0,28156.0,15227
27,Pittsburgh,215000.0,72396.0,17595.0,15228
28,Pittsburgh,126700.0,58457.0,13825.0,15229
29,Pittsburgh,,,,15230
30,Pittsburgh,,,,15231
31,Pittsburgh,293300.0,50870.0,11374.0,15232
32,Pittsburgh,102700.0,33780.0,4451.0,15233
33,Pittsburgh,114700.0,55538.0,14056.0,15234
34,Pittsburgh,88800.0,50234.0,34580.0,15235
35,Pittsburgh,134500.0,58435.0,29724.0,15236
36,Pittsburgh,176400.0,69103.0,41895.0,15237
37,Pittsburgh,292500.0,79194.0,13162.0,15238
38,Pittsburgh,135500.0,65750.0,21024.0,15239
39,Pittsburgh,,,,15240
40,Pittsburgh,249700.0,102380.0,20395.0,15241
41,Pittsburgh,,,,15242
42,Pittsburgh,170100.0,74500.0,13406.0,15243
43,Pittsburgh,,,,15244
44,Pittsburgh,,,,15250
45,Pittsburgh,,,,15251
46,Pittsburgh,,,,15252
47,Pittsburgh,,,,15253
48,Pittsburgh,,,,15254
49,Pittsburgh,,,,15255
50,Pittsburgh,,,,15257
51,Pittsburgh,,,,15258
52,Pittsburgh,,,,15259
53,Pittsburgh,,,0.0,15260
54,Pittsburgh,,,,15261
55,Pittsburgh,,,,15262
56,Pittsburgh,,,,15264
57,Pittsburgh,,,,15265
58,Pittsburgh,,,,15267
59,Pittsburgh,,,,15268
60,Pittsburgh,,,,15270
61,Pittsburgh,,,,15272
62,Pittsburgh,,,,15274
63,Pittsburgh,,,,15275
64,Pittsburgh,,,,15276
65,Pittsburgh,,,,15277
66,Pittsburgh,,,,15278
67,Pittsburgh,,,,15279
68,Pittsburgh,,,,15281
69,Pittsburgh,,,,15282
70,Pittsburgh,,,,15283
71,Pittsburgh,,,,15286
72,Pittsburgh,,,,15289
73,Pittsburgh,,,0.0,15290
74,West Mifflin,85200.0,45685.0,20131.0,15122
